,sair_adi,baslik,siir_link,siir
402,Hamdi Oruç,Aşk şehrine Özlemim büyük,https://www.antoloji.com/ask-sehrine-ozlemim-buyuk-siiri/,Aşk şehrine Özlemim büyükAşk şehrine varsam  Batmasın güneş olmasın akşam Yıllarca pervanesi olunur o mezarın...Dediler aşk şehrinde Yunus Aşk şehrine özlemim büyükAşk şehrinde Yunus Aşk şehrine özlemim büyük Aşk gönle değil yükŞiir şiir koştum Yunusa Onu bildiğim günden beri Aşk şehri güneşli Aşk şehrine özlemim büyükAllah'ın aşkını masmavi gök bildim Deniz bildim seccadelerimi... Aşk şehrinde mavilik Aşk şehrine özlemim büyük Aşk şehrine varamayana yazıkAllah'ın aşkını masmavi gök bildim Yıldız yıldız dolaştığım geceden çıktım  Aşk şehrine döndüm yönümü Ömrün başlangıcındaAşk şehrine özlemim büyük Aşk şehrinde Yunus Işıklarına ölürüm Aşk güneşim O yunusAşk şehrine varsam  O en gül şehir Sorsam Nerede  Yunusun mezarı... Bir çiçektir Yunusun mezarı Aşktır gönlün yariAşk güneşim yunus Ve aşk güneşim...Sorsam  Nerede kurulmuş aşk otağı Nerede yanmış çerağı… Sorsam nerede abdest aldığı bulağı  Nur akar bulağı… Nur akar aşk şehrinde Aşk yakar aşk şehrindeAşk şehrine varsam  Batmasın güneş olmasın akşam Yıllarca pervanesi olunur o mezarın... Ay yetmez ömre nuru yeter o mezarın   Hamdi OruçKayıt Tarihi : 4.4.2013 20:00:00
403,Mesut İslam,Bülbül güle aşk eyler,https://www.antoloji.com/bulbul-gule-ask-eyler-2-siiri/,"Gördüm ki gül bülbüle engel koymuş Aşmak zor aşıp gönlüne varmak zor Yüzüne karşı sevdiğini söylemek zor Bülbül güle hasret eyler, eyler gönülDemek ki gül bülbülü anlayamamış Anlayıp sevdasına damlayamamış Meğer aşkı yalandan, yalandanmış  Bülbül güle aşk, aşk neyler gönülÖmür kısa biliyorum kavuşmak zor Kavuşup yüreğinle barışmak zor  Gönül dergahında buluşmak zor Bülbül güle uzak eyler, eyler gönülSevgimizin yoluna merhamet düştü Ötelerden öteye bir sevda düştü Gönlümüze gözümüze bir can düştü Gül bülbüle, bülbül güle yar düştüBülbül güle aşk, aşk eyler gönül Aşk muhabbeti eyler, eyler gönül Aşk olmayınca neyler, neyler gönül Aşk eylerse güzel eyler, eyler gönül   Mesut İslamKayıt Tarihi : 26.4.2015 12:40:00"
404,Onur Şevik,Aşk Diyorum Aşk 3 *,https://www.antoloji.com/ask-diyorum-ask-3-2-siiri/,"Yeni doğmuş bir bebek paklığı Anne sütü ferahlığı Baba oğul arkadaşlığı, Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! İşsize iş bulma rahatlığı Son parayla simit alma rahatlığı Simit peşinden sigara yakma sıcaklığı Bu bendeki aşk Bakma öyle yüzüme, Aşk diyorum aşk! İlk defa bir baba olma sevinci Anneye doğum sancısı işkencesi Mutlu bir sinema gecesi Bu bendeki aşk Bakma öyle yüzüme  Aşk diyorum aşk! Çocukların bayram harçlığı çığlığı İşyerinden avans para hıçkırığı Ne yapsam nereye gitsem tıkanıklığı Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Sevgililer gününde ilk sevgili Ve ilk sevgililer günü hediyesi İlk defa canlı bir gül sürprizi Bu bendeki aşk Bakma öyle yüzüme Aşk diyorum aşk!   Onur ŞevikKayıt Tarihi : 11.3.2007 22:22:00"
405,Hüseyin Demircan,Aşk yaşanır anlatılmaz,https://www.antoloji.com/ask-yasanir-anlatilmaz-siiri/,ağızda cigaram yanık onsuz zihnim canlatılmaz olmasın hiç başka tanık aşk yaşanır anlatılmaz..aşkla konar kuzgun leşe aşk benzer aya güneşe yesen sopası yaş meşe aşk yaşanır anlatılmaz..kısmen hayatı boşlasam yar senle mısır haşlasam bilmem ki nerden başlasam aşk yaşanır anlatılmaz..bakışları odaklarım kıpırdaşır dudaklarım tavuk gibi gıdaklarım aşk yaşanır anlatılmaz..sende bulüz bende atlet pişirmek mutfakta omlet ne demiş şekspirin hamlet aşk yaşanır anlatılmaz..kırklı yaşa erişirler gençler ile görüşürler takunyayla girişirler aşk yaşanır anlatılmaz..sevdim der avrupa balkan söz almaya eli kalkan ne yazar bir banu alkan aşk yaşanır anlatılmaz..beni elden hep ayırda tepinelim gel çayırda dağda kırda ve bayırda aşk yaşanır anlatılmaz..geçmez akçe sarı liran ne çıkar ol şahı iran dil tutulur sanki bir an aşk yaşanır anlatılmaz..kana bulansın baş karın dök meydane bin leşkerin boşmuş divanı kaşkarın aşk yaşanır anlatılmaz..meyil verme senle meşke kurulmak sarayı köşke demeseydim bunu keşke aşk yaşanır anlatılmaz..sevdiğime varsa kuşkun bak gözüme böyle şaşkın akarsular gibi taşkın aşk yaşanır anlatılmaz..insan vuslat gaye koşar gider tez karıyı boşar yemek senle taze kaşar aşk yaşanır anlatılmaz..gez sathını düzlüklerin oturt burna gözlüklerin manası yok sözlüklerin aşk yaşanır anlatılmaz..bana ayır her dakkanı al külahı ver takkeni mutabıkız ortak kanı aşk yaşanır anlatılmaz..yar ardı zonguldak bartın kazık söküp ip kopartın meşhur sözü bonapartın aşk yaşanır anlatılmaz..bazı giyinmeden donlar kulağımda mermi vınlar boşver önemsiz şey bunlar aşk yaşanır anlatılmaz..sevdan hep kalbimi buran ağrısı beynime vuran fizik sırrı gibi duran aşk yaşanır anlatılmaz..al dudağın diyor sömür in bodruma varmı kömür uğruna harcanır ömür aşk yaşanır anlatılmaz..dolanırız ardı yar iz dile gelmez sırrı bariz serbes hece yahut aruz aşk yaşanır anlatılmaz..toz pembe rengi karışın etabı bitmez yarışın kumral esmeri sarışın aşk yaşanır anlatılmaz..   Hüseyin DemircanKayıt Tarihi : 22.9.2010 23:04:00
406,Murat Şahin Selvi ,Aşk nedir sence,https://www.antoloji.com/ask-nedir-sence-9-siiri/,Aşk nedir sence Bir elma şekerimi Bir oyuncakmı Yoksa tutumaya çalıştığın kuru bir dalmıAşk nedir sence Bir oyunmu  Bir masalmı Yoksa sonunu bilmediğin bir maceramıAşk nedir sence Yürekte sızlayan ince bir sızımı Bağrında hissettiğin kocaman bir ağrımı Yoksa dilinde dönüp dolaşan bir intizarmıAşk nedir sence Hayatın tadı tuzumu Kalpten gelen bir uğultumu Yoksa içine düştüğün dipsiz bir kuyumuAşk nedir sence Boş bir roman sayfasımı Döşte hissettiğin kurşun yarasımı Yoksa amansız bir verem hastalığımıAşk nedir sence Çıldırmakmıdır Delirmekmidir Yoksa karşındakini delirtmekmidirAşk nedir sence Bir hazanmı Bir baharmı Yoksa bile bile intiharmı...   Murat Şahin Selvi Kayıt Tarihi : 25.7.2009 15:07:00
407,İbrahim İmer,Unutulmuyor,https://www.antoloji.com/unutulmuyor-25-siiri/,"Yuva yapmak varken gönül döşünü Aşk unut demekle unutulmuyor  Kimse anlatmadı pembe düşünü  Aşk unut demekle unutulmuyor Onu da beni de aldın karşına  Sende yalnız kaldın bir tek başına  Uzaktan bakamam gülün kaşına Aşk unut demekle unutulmuyor Dünya sarhoş musun yoksa ayık mı?  Boş laf geveleyen saf mı geyik mi?  Söyle ettiğine bu aşk layık mı?  Aşk unut demekle unutulmuyor Lafını aklımca kelam sanmıştım  Yalana o kadar çok inanmıştım  Aşkın yollarına çok kapanmıştım Aşk unut demekle unutulmuyor Bilmiyorsan aşkı git bilene sor  Ustam anlatır dinle hayra yor İmer’in özünde saklı kalan kor 	 Aşk unut demekle unutulmuyor Ankara, 22/02/2008   İbrahim İmerKayıt Tarihi : 27.2.2008 01:48:00"
408,Şeyhmus Sevilmez,Aşk Nedir,https://www.antoloji.com/ask-nedir-21-siiri/,"Aşk değilmidir ........insanı bezdiren, çölde gezdiren, Şu aşk değilmidir, .......murada ermeden insanı öldüren, ve Kudretli bir azimle .......dağları deldiren aşk değilmidir? ..Aşk değilmidir, ....... buruşuk bir resime bakınca maziye daldıran Şu aşk değilmidir, ........perdesi örtülü pencereye gözleri mahkum eden Kavrulup yandıkça ........ateşi körükleyen aşk değilmidir? Aşk değilmidir ........eskimiş albümlere baktıran, yürek yaktıran Şu aşk değilmidir ....... içini kavuran, geceleri yağmurda dolaştıran Kim bilir ........belki gelir diye ümitsizce bekleten, aşk değilmidir? Aşk nedir diye sorulsa ........panzehiri olmayan bir zehir, bir çıkmaz sokaktır. Şekli varmıdır aşkın diye sorulsa  ........güneşi olmayan bir gölgedir ve hep takiptedir Kim dokunursa ona ........kurtuluşu olmayan bir illet değilmidir aşk?   Şeyhmus SevilmezKayıt Tarihi : 16.2.2005 15:53:00"
409,İsmail Özabacı,Onurlu Olmalı Aşk,https://www.antoloji.com/onurlu-olmali-ask-siiri/,"Onurlu olmalı aşk Gururlu olmalı Onun bize yaptığını (Biz) Ona yapmamalı… Aşk olmaz o zaman işte  adı Küçük bir gidişe Büyük bir sahiplenme olmalı Affetmeli gideni, Arda kalan hep aynı yerde kalmalı Aşk büyük olmalı Öyle yıkılmamalı hemen Ayakta olmalı hep fırtınalarda Aşk engelsiz olmalı Mesafe neymiş, özlemek neymiş Bilmeli aşk, bilge olmalı Merhametli olmalı Aşk Kapısına geleni İçeri almalı Bir çınar gibi sarmalı  Sevdiğini Aşk aşık olmalı Mecnun gibi Gözü görmemeli hiçbir şeyi Ferhat gibi deli olmalı Dağları delmeli Aşk o kadar sevmeli ki Gerekirse Aşk onu hiç görmeden ölmeli Aşk affetmeli en büyük Günahları Susmalı bazen içine atmalı Gerekirse hıçkıra hıçkıra Ağlamalı Aşk, Aşk duygusal olmalı Aşk hasretli olmalı Deli gibi özlemeli Hep kavuşma anına Bilenmeli… Aşk eş   ruh olmalı Aynı anda Aynı yerde hissetmeli Bir çarptımı kalbin Yerinden çıkacak gibi hissetmeli Damarlarında akmalı İnsan nefessizlikten ölüyorum sanmalı İçten içe Yanmalı… İşte böyle olmalı Aşk içten olmalı Yoksa bir gün öyle bir acıtır ki içini İnsan işte Gerçek aşkı asıl O zaman anlamalı….   İsmail ÖzabacıKayıt Tarihi : 25.7.2013 18:31:00"
410,Onur Şevik,Aşk Diyorum Aşk 4 *,https://www.antoloji.com/ask-diyorum-ask-4-2-siiri/,"Bedelini ödermi kurumuş bir papatya, aşkın!  dünya tekrar aynı yere dönermi Yeşerirmi Bu sendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Davamız aynı mahkemede Aynı avukat aynı savcı Kollarımdaki aynı kelepce Sevdandan daha ağır Bu sendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Paraşütü acılmamış bir amatör Frenleri patlamış bir kamyon Rotası şaşmış bir kuruyük gemisi Bu sendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Kör bir otobüs şoförü Yol bilmeyen bir kılavuz, Ve köşe başı şarapcısı Bu sendeki aşk Bakma öyle yüzüme Aşk diyorum aşk! Bir cami dilencisi Az'ı beğenmeyen coğa şükretmeyen Bir asi Bu sendeki aşk Bakma öyle yüzüme Aşk diyorum aşk!   Onur ŞevikKayıt Tarihi : 21.4.2007 19:45:00"
411,Ferit Battal,Can Versem De,https://www.antoloji.com/can-versem-de-siiri/,"Bir gül sevdim gül peşinde ölmedim  Bu kalp ile beter etti aşk beni.  Can ver semde bir güzeli övmedim,  Bir cana can katar etti aşk beni, Her gördüğüm yüzü sevdam sanardım,  Hasret çekip aşk odunda yanardım,  Bir gül görsem sevdam diye kanardım,  Bu kalp ile beter etti aşk beni. Hüzne dalıp tatlı candan bezerdim Aşk ehline dert manisi yazardım,  Leyla gibi yâr yolunda gezerdim,  Ferhat gibi beter etti aşk beni. Gülü aşka bağlar bülbül narası,  Seven gülün derin olur yarası  Aşkla yanan kulun yoktur çaresi,  Bir cana can katar etti aşk beni,   Ferit BattalKayıt Tarihi : 14.1.2010 01:34:00"
412,Tarık Torun,Aşk Nedir?,https://www.antoloji.com/ask-nedir-64-siiri/,"“Aşkı sonsuz bilen, ölümsüz âşıklara adanmıştır.”Aşk; O'nun uğrunda,Mecnun olup,çölde koşmaktır. Aşk; O’nun uğrunda, çıldırıp, haykırıp ta coşmaktır. Aşk; O’nun uğrunda, kabına sığmayıp coşup taşmaktır. Aşk; O’nun uğrunda,ölümüne engeli aşmaktır.Aşk; Korkmadan ölümsüzlük şerbetini içmektir. Aşk; O’nun için anadan, babadan, serden geçmektir. Aşk; Hicret edip, yeri yurdu terk edipte göçmektir. Aşk; Sevgi tohumları ekip, mutluluklar biçmektir.Aşk; Derya kenarında “Yandım Allah” deyip bağırmaktır. Aşk; En güzel nağmelerle O’nun adını çağırmaktır. Aşk; Kutuplardan okyanuslara doğru haykırmaktır. Aşk; Aşağıdan yukarıya doğru akan ırmaktır.Aşk; İmkânsız görünen her şeyi azimle başarmaktır. Aşk, Esaret zincirine baş kaldırıp da kırmaktır. Aşk, Ferhat gibi, Sıra sıra mor dağları yarmaktır.  Aşk, Kaf dağının ardında ki, “Mavera”ya varmaktır.Aşk, Kurban olup, korkmadan bıçağın altına yatmaktır. Aşk, Ateşe aldırmayıp, kendini nara atmaktır. Aşk, Hallacı Mansur gibi ipte ölümü tatmaktır. Aşk, Kerem misali yanıp ta ateşlere batmaktır.Aşk, Yaratılana Yaratan için âşık olmaktır. Aşk, Dadaloğlu misali dağlara ferman salmaktır. Aşk, Gemiyi yakıp, Cebeli Tarık boğazına dalmaktır. Aşk, “Ne olursan ol” rahmetin kapısını çalmaktır.Aşk, “Ölümü sevgiliye kavuşma günü” bilmektir. Aşk, Sevenin kalbine motif motif işlenen ilmektir. Aş,; Sevgilisi uğruna, bedeni ikiye bölmektir. Aşk; Ölümsüzlüğü seçip sevgili için ölmektir. Âşık, Bütün bunları ölümüne korkmadan yapandır. Âşık, Tüm putları terk edip, sadece Allah’a tapandır. Âşık, Aşkını, canını, cananını ölümsüz yapandır. Âşık, Aşk badesi içip, sadece Allah’a tapandır.13.03.2007 Tarık TORUNAŞKIN COĞRAFYASI “Mekândan Kalbe”   Tarık TorunKayıt Tarihi : 13.3.2007 22:45:00"
413,Kaya Ünver,Dara Düştüm,https://www.antoloji.com/dara-dustum-2-siiri/,"Sinem alev alev yandı  Sevda denen nara düştüm Gönül hal bilmeze kandı Aşk elinden dara düştümDara düştüm dara düştüm Vefasız bir yara düştüm Şeyda bülbüller misali Dostlar ahu zara düştümGölgem gibi benden kaçar Yar dedikçe yare açar Çaresizim kaldım naçar Aşk elinden dara düştümNerde hata nerde kusur Bir bakışa oldum esir Bilen varmı nedir bu sır Aşk elinden dara düştümKaleli'yem bilmez oldum  Gözüm yaşın silmez oldum Hep efkarda gülmez oldum Aşk elinden dara düştümDost kalemlerden inci taneleri---Aşkın etkisinde kaldım Soğuk denizlere daldım Sanırlar bir busen aldım Aşk elinden dara düştüm....SüperbabaGün geçer sönmez ateşi Var mı bu sevdanın eşi, Ayrılık bunun gidişi, Aşk elinden dara düştüm.... SezginîDerdim çoktur bilen yoktur Sensin bu gönlüme doktor Neden yüzün hep soğuktur Aşk elinden dara düştüm...........Ataman Ertuğrul Gün batımı gam zamanı Ufku sardı dert dumanı Yar dinlemez ki amanı Aşk elinden dara düştüm  ...Hasan UlusoyKul yiğit ne güne kaldın Sen bu dünyayı ne sandın Vefasız birine yandın Bak ne halden hale düştün ....Kul YiğitGözlerimden aktı yaşlar Sıkıntılar gece başlar Unutulmaz kara kaşlar Aşk elinden hara düştüm  ...M.M.REVANLI Sen orada ben burada Yüce dağlar var arada Nasıl ereyim murada Aşk elinden zora düştüm    ...Zaralı TuranBir nazardı del'eyleyen Dikenleri gül eyleyen Ardın sıra yol eyleyen Aşk elinden dara düştüm.....Derya Sezer..Hep hecemi yazarsınız Bizi zora sokarsınız Eşlik etmek arzularız Kafiyeden dara düştüm....Hasan çakmecelioğlu   Kaya ÜnverKayıt Tarihi : 12.1.2010 19:32:00"
414,Cemal Çelik,En Güzel Hediye,https://www.antoloji.com/en-guzel-hediye-14-siiri/,"Aşk kadehim var elimde Sana sundum ey sevgili İç onu sen hemen zevkle Paha biçilmez hediyeAşk mutluluk rüzgarımız Dağıtıyor efkarımız Aşk kutsal, aşk tertemiz Paha biçilmez hediyeRabbim sunmuş kullarına Bakmayalım ona buna Aşk ile güzeldir dünya Paha biçilmez hediye08.05.2016   Cemal ÇelikKayıt Tarihi : 14.11.2014 10:12:00"
415,Doğukan Hazar Aytekin,Aşk,https://www.antoloji.com/ask-2015-siiri/,"Aşk yorganın altına saklanmak değildir Orası hep sıcakAyaklarından ısının gittiğini bilerek  Çıplak ayak kara basmaktır aşkBunu bilmeyen aşık olmasınAşk parklarda el ele tutuşmak değildir Oralar hep görselAldatıldığını bilerek, Tutmaktır sevdiğinin elleriniAşk bunu bilmeyeni affetmezAşk seni seviyorum demek değildir Orası hep yalandırÖlmektir aşığın bir başkasını sevdiği için Aşksız çoğunluk enayilik dese bileAşk bunu bilse bile ölmekBir çiçeğe vurulmaktır aşk  Bir binayı görüp mimar olmayı istemek aşktır Bebeğim oldun konu aşk olunca  Bok kokan altını değiştrmek aşktır Küvette ilk banyosunu yapan bir bebeği gördün mü hiç? Aşk budur.   Doğukan Hazar AytekinKayıt Tarihi : 24.10.2010 22:38:00"
416,Sadık Cebe,"Başlar, biter.",https://www.antoloji.com/baslar-biter-2-siiri/,"gözler görmediği zaman aşk biter,  duymak istemediği zaman kulaklar,  İşte aşk biter, dil konuşmaz, konuşunca da susmazsa  işte şimdi aşk biter, nefret başlarsa, aşk biter,  kalp düzenli atıyorsa, İşte aşk biter, ...Gözler başka bir şey görmüyorsa aşk başlar, kulaklar sadece onu duyuyorsa  İşte aşk başlar, Dil konuşmaz, kalp konuşursa, dil konuşunca da saçmalıyorsa,  işte şimdi aşk başlar. Nefret nedir bilinmiyorsa, kalp düzensiz atıyorsa,  İşte aşk başlar....   Sadık CebeKayıt Tarihi : 17.2.2010 15:53:00"
417,Veysel Kızlarkayası,Aşk Sivas’ta,https://www.antoloji.com/ask-sivas-ta-siiri/,Aşk beşinci mevsim on üçüncü ayın adıdır Aşk Sivas’ta türküdür şiirdir hecedir vezindir aruzdur  mısra mısra kıta kıta sevdadır sözdür hicivdir divandır bağlamdır sazdır davuldur zurnadır  halaydır semaha dönmenin adıdır Aşk Sivas’da ağıttır göz yaşıdır ayrılıktır  gurbettir vatandır sıla’dır Ay yıldızdır gönül burçlarında bayrak bayrak  dalga dalga sevdadır. Aşk Sivas’ta dert yükü yüreklerde varda yok yokta da varın adıdır  aşk Sivas’da gazeldir manidir ilahidir yakarıştır  elleri açıp semaya Aşk Allah’ın adıdır Sivas’ta Gün vurgunu yağız yüzlü deli kanlının adıdır aşk Sivas’ta çatlayan dudaklarda nasırlı ellerde harman harman yığının adıdır genç kızların hayalıdır düşüdür göz nurudur oyadır desen desen ilmek ilmek halıdır kilimdir aşk Sivas’darüzgarda başakların savrulmasıdır tane tane dökülen çavdarın zerinin arpanın adıdır  kara kışta kuru ayazda fırtınada tipidir boranda direniştir  vuslat yolunda Aşk Sivas’ta Aşk bir başkadır Sivas’ta  sevdaların yüreğinde taşıyan yiğidin harman olduğu  yerdir. aşk Sivas’da beşinci mevsimin adıdır Çiğdemdir laledir sümbüldür kardelendir kalplerde aşk Sivas’da beşinci mevsimin adıdır Aşk Sivas’dır Sivas Aşktır 19.ARALIK.2014.KARA KIŞTA AŞK SİVAS’DA   Veysel KızlarkayasıKayıt Tarihi : 19.12.2014 21:26:00
418,Serap Demirtürk,Aşk Sensin Yâr,https://www.antoloji.com/ask-sensin-yar-siiri/,"Sana aşığım, Sensiz olamam yâr… Aşk bu. Aşk unutulmamaktır. Aşk tek yürek olmaktır. Aşk unutulmayacağını bilmektir. Aşk candan öte can olmaktır. Aşk aynı toprağa can olmaktır. Aşk aynı damla suda har söndürmektir. Aşk hasretin içinde sevda beslemektir. Aşk yüreği, bir ömür demde tutmaktır. Aşk dünde bugünü, yarında dünü yaşamaktır. Aşk serabın yüreğinde yer bulmaktır. Aşk elinde –solsa da-  kırmızı gül,  beklemektir. Aşk sevgilinin hasretinde bir ömür beklemektir. Aşk gözlerinde sonsuza erişmektir. Aşk sevilende kaybolmaktır. Aşk sevdalısının bir tel saçına, destan yazmaktır. Aşk sevgiliyi zerre zerre süzmektir. Aşk petekten süzüleni, cana ilaç eylemektir. Aşk doğruyu yalanı birbirine karıştırmaktır. Aşk sevgilinin elindeki lokmayı bölüşmektir. Aşk mı dedin yar?  Aşk bir seraptır gerçek değil.04.06.2008  SERAP HOCA    Serap DemirtürkKayıt Tarihi : 5.6.2008 08:24:00"
419,Fatih Öncü,Aşk Üstüne,https://www.antoloji.com/ask-ustune-5-siiri/,"Damla damla, yağar yağmur misali Gönülden gönüle aşk bilmecesi Su kandırmaz, olmazsa yar visali Söylenir dilden dile aşk hecesiSığamaz bir bedene yoktur ili Dokunmaya kıyamaz titrer eli Konuşmak istese lal olur dili Aşıkların kalbinde aşk lehçesiAsır gibi, ayrılık dipsiz kuyu Yalnızlık acı, boğar hasret suyu Düşman olur, budur zamanın huyu Ne kadar kısa sürer aşk gecesiDua dua iniler dudakları Açar ilahi sese kulakları Utanır al al olur yanakları Ulaşınca yare aşk dilekçesiBakışlar şua saçar gözler ateş Varlık kızgın kor olur özler ateş Dil kibrit kibrit parlar sözler ateş Parçalar bedenleri aşk pençesi Kıtmir’i aşk sözü fazla uzatma Eğri büğrü konuşup yalan katma Aşk ölümsüzdür gel yabana atma Bağlar ömürleri aşk kelepçesi                                                               şubat 2007   Fatih ÖncüKayıt Tarihi : 16.2.2007 20:08:00"
420,Neşe Fidan,Aşk Nedir Sence,https://www.antoloji.com/ask-nedir-sence-8-siiri/,"Bir kuşa sordum aşk nedir sence, Kanat açıp uçmak dedi özgürce, Bir kelebeğe sordum aşk nedir sence, Çiçekleri gezmek dedi kanatlarım ince, Bir ağaca sordum aşk nedir sence, Yükseklerde esmek dedi fısıltıyla bence, Bir çiçeğe sordum aşk nedir sence, Etrafa güzel kokular saçmak deyince, Bir kaleme sordum aşk nedir sence, Duyguların ellerinde coşmak dedi sevince, Bir kağıda sordum aşk nedir sence, Acı çekmek dedi sırları bilince, Bir insan'a sordum aşk nedir sence, Aşk acısıyla, tatlısıyla dedi kalbe işkence.   Neşe FidanKayıt Tarihi : 13.5.2008 23:20:00"
421,Orhan Ayar,Aşk Değdi Özüme,https://www.antoloji.com/ask-degdi-ozume-siiri/,"Aşk değdi özüme  Düştü aşk acısı toprağa Filizlendi toprakta aşk çiçeği Sanırsın düşecek şu dünya Âşıkların gözlerinde hep hülya çiçeğiSavaşını vermiş dört bir kıtaya aşkın Gemilerini yakmış, aşk korsanları sultanların Her defasında suyu kabarmış Fıratın Aşk dedin mi? Durdur kır atın.Aşka, âşık olanların gözlerindedir aşk Aşkın hudutlarını çizenlerindir aşk Aşktan başka aşk arayanların aşkı Aşksızlıktan olacaktır onların helakıAşk gemisi, içinde aşk yarenleri Aşktandır en güzel hünerleri Âşık ın, aşkına duyduğu özlemi Kim söndürebilmiş âşık ın yüreğindeki ateşiHer şeyin özü aşktandır Aşka susamışım çoktandır Aşktan yandığım, yardandır Aşksız günlerim haramdırGüneş aşktan yanmış, ateş olmuş Deniz aşktan yanmış, su olmuş Toprak aşktan yanmış, toz olmuş İnsan aşktan yanmış, yok olmuşHer nesnenin, tabiatın dilinde aşk Güle, aşık olan bülbülün dilinde aşk İbrahimi yakmayan ateşin içinde aşk Hıra da, Sıddık ın gözlerinde aşk   Orhan AyarKayıt Tarihi : 1.5.2007 13:19:00"
422,Ruhi Hatunoğlu,Aşk Deryan da Yüzmeye,https://www.antoloji.com/ask-deryan-da-yuzmeye-siiri/,Sevgi muhabbetini seninle sen de buldum İzin versen ey dilber aşk deryan da yüzmeye Senin o gözlerin de boğulupta mest oldum İzin versen ey dilber aşk deryan da yüzmeye *** Meftunuyum ben senin ruhunda ki duyguna Çıkmışım dağlarının en yüksek doruğuna Sığındım sana gülüm sığındım kovuğuna İzin versen ey dilber aşk deryan da yüzmeye *** Az gelir bilirmisin sana güzel sözcükler Beni benden ediyor anlamlı gülücükler Duygularım da hergün yeşerir sevgicikler İzin versen ey dilber aşk deryan da yüzmeye *** Sözcükler yetersizdir seni anlatmalara Duygular akıp gider nehrinde ki sulara Nefesini alınca karıştım havalara İzin versen ey dilber aşk deryan da yüzmeye *** Ruhi aşk çilesini yudum yudum içiyor Uslanmayan gönlünü yollarına seriyor Hasretliğin bitmezken çok acılar veriyor İzin versen ey dilber aşk deryan da yüzmeye                                                04.11.2008/OLTU   Ruhi HatunoğluKayıt Tarihi : 4.11.2008 09:54:00
423,Mesut Bıyık,Aşk Delilerin İşi,https://www.antoloji.com/ask-delilerin-isi-siiri/,aşk korkakların işi değil korkuyla tutku aynı kalbe sığmazaşk zenginlerin de işi değil derler ya para ile saadet olmazaşk cimrilerin işi hiç degil tutup yastık altına saklanmazaşk sabırsızların işi de değil ilmek ilmek işlemeden aşk dokunmazaşk kahramanların işi mi? hayır kaybeden sen olmadıkça aşk kazanılmazaşk pek akıllı işi de değil aklından zoru olmayan aşık olamazaşk delilerin işi gözümün içi delinin halinden sual olmaz   Mesut BıyıkKayıt Tarihi : 20.7.2006 01:08:00
424,Ahmet Kemal,A A Şiirleri YUSUF VE ZÜLEYHA 5,https://www.antoloji.com/a-a-siirleri-yusuf-ve-zuleyha-5-siiri/,ZÜLEYHAZüleyha bu Yusuf’a sevdalanmıştı                                  Sevdalanmıştı da Ölümü göze almıştı ayıplanmayı da Aşıkta utanmak ne gezer Aşk geldi mi başa akıl gider                                       Utanma gider Aşk olunca tüm dertler biter demiş                                               Ekâbir Ben diyorum ki aşk öyle bir derttir ki O gelince tüm dertler biter Aşk olmazsa evren olmaz                              Yaratılış olmazdı Bu yüzden Züleyha mazurdur                           Ayıplanmaz Kutlu bir aşktır Züleyha’nın aşkı Züleyha bu aşka mecburdur  Züleyha bu Aziz’in karısı          Yusuf’a sevdalı Züleyha Yusuf’a sevdalı Yusuf Allah’a sevdalı Züleyha bu davada Erkeklerden daha erkek Züleyha aşkında gerçekten iddialı Züleyha bu ezelde yazılmış Aşk kitabında adı Züleyha bu aşk demek Aşk destanıdır soyadı07.04.15 Ahmet KEMAL_   Ahmet KemalKayıt Tarihi : 7.4.2015 18:39:00
425,Sinan Bayram,Sevdikçe yanmayana olur mu sevda,https://www.antoloji.com/sevdikce-yanmayana-olur-mu-sevda-siiri/,Bir yürekti sevda denizinde Adını yazmıştı sevdanın kıyılarına  Yakmıştı aşk meşalesini gül kokusunda Gönül şelalesinde bulmuştu gül sevdasınıGül sevdası ayaz gecelerde içini ısıtan muamma Bir sırdır yeşerdiği toprakta toprağın bağrında Sır olmalı sevda kalbine gömülmeli Adeta aşkla Yüreklere kazınmayan sevdikçe yanmayana olur mu sevdaMevlam aşk demiş aşk hakikattir bunu bilmek gerek Aşk vardır aşka şüphe olursa inançta eksiklik vardır Aşk başka ilahi aşk başka sevgi bambaşka Doğru olanı yazmak gerek aydınlansın diye tüm cihanDedim ya bir yürekti o bir yürek olmalı insan Aşk olmazsa halimiz yaman gel aşkla uyan Uyan ki umut ol çorak topraklara sevgi sunan Adın yazılsın adımızla yarınlarda umut olanSİNAN BAYRAM   Sinan BayramKayıt Tarihi : 30.4.2015 20:35:00
